Name                                                                                                                               Stmts   Miss  Cover
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/at/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/at/at_states                      10      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/at/forms                          27      1    96%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/au/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/au/au_states                       1      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/au/forms                          26      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/br/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/br/br_states                       2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/br/forms                         105      6    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ca/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ca/ca_provinces                   32      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ca/forms                          69      3    96%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ch/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ch/ch_states                       2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ch/forms                          68      6    91%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/cl/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/cl/cl_regions                      2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/cl/forms                          47      3    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/cz/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/cz/cz_regions                      2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/cz/forms                          66      4    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/de/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/de/de_states                       2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/de/forms                          48      3    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/es/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/es/es_provinces                    2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/es/es_regions                      2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/es/forms                          75      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/fi/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/fi/fi_municipalities             417      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/fi/forms                          28      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/fr/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/fr/forms                          26      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/fr/fr_department                   1      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/generic/__init__                   0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/generic/forms                     15      2    87%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/id/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/id/forms                         108      7    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/id/id_choices                      3      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ie/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ie/forms                           5      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ie/ie_counties                     2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/is_/__init__                       0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/is_/forms                         39      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/is_/is_postalcodes                 1      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/it/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/it/forms                          50      6    88%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/it/it_region                       1      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/it/util                           25      3    88%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/jp/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/jp/forms                          14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/jp/jp_prefectures                  2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/kw/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/kw/forms                          36      5    86%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/nl/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/nl/forms                          54      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/nl/nl_provinces                    2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/pl/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/pl/forms                          67      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/pl/pl_administrativeunits          2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/pl/pl_voivodeships                 2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/pt/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/pt/forms                          27      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ro/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/ro/forms                         110     81    26%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/se/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/se/forms                          60      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/se/se_counties                     3      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/se/utils                          41      2    95%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/sk/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/sk/forms                          17      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/sk/sk_districts                    2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/sk/sk_regions                      2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/uk/__init__                        0      0   100%
