Name                                                                                        Stmts   Miss  Cover
---------------------------------------------------------------------------------------------------------------
/home/gdub/tmp/metrics/2008-07-13/django/__init__                                               7      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/bin/__init__                                           0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/conf/__init__                                         77     25    68%
/home/gdub/tmp/metrics/2008-07-13/django/conf/global_settings                                  94      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/__init__                                       0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/admin/__init__                                 0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/admin/models                                  39      8    79%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/admin/templatetags/__init__                    0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/admin/templatetags/adminmedia                  9      2    78%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/admin/views/__init__                           0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/admin/views/decorators                        73     53    27%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/__init__                                 66     24    64%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/backends                                 39      6    85%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/decorators                               37      3    92%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/forms                                    78     31    60%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/management/__init__                      39     10    74%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/management/commands/__init__              0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/management/commands/createsuperuser      84     51    39%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/middleware                               11      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/models                                  241     58    76%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/tests                                    15      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/auth/views                                    76     37    51%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/comments/__init__                              0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/comments/models                              204     76    63%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/comments/templatetags/__init__                 0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/comments/tests                                 1      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/contenttypes/__init__                          0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/contenttypes/generic                         170     29    83%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/contenttypes/management                       30      8    73%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/contenttypes/models                           46      3    93%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/contenttypes/tests                             0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/csrf/__init__                                  0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/databrowse/__init__                            1      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/databrowse/datastructures                    147    101    31%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/databrowse/plugins/__init__                    0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/databrowse/plugins/calendars                  53     34    36%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/databrowse/plugins/fieldchoices               50     31    38%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/databrowse/plugins/objects                    12      5    58%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/databrowse/sites                              82     49    40%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/flatpages/__init__                             0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/flatpages/models                              26      2    92%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/formtools/__init__                             0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/formtools/models                               0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/formtools/preview                             56      5    91%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/formtools/tests                               38      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/humanize/__init__                              0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/humanize/templatetags/__init__                 0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/humanize/templatetags/humanize                68      5    93%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/__init__                           0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ar/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ar/ar_provinces                    2      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ar/forms                          61      3    95%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/au/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/au/au_states                       1      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/au/forms                          25      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/br/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/br/br_states                       2      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/br/forms                         104      6    94%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ca/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ca/ca_provinces                   32      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ca/forms                          68      3    96%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ch/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ch/ch_states                       2      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/ch/forms                          67      6    91%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/cl/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/cl/cl_regions                      2      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/cl/forms                          46      3    93%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/de/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/de/de_states                       2      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/de/forms                          47      3    94%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/es/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/es/es_provinces                    2      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/es/es_regions                      2      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/es/forms                          73      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/fi/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/fi/fi_municipalities             417      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/fi/forms                          27      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/fr/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/fr/forms                          25      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/fr/fr_department                   1      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/generic/__init__                   0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/generic/forms                     11      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/is_/__init__                       0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/is_/forms                         38      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/is_/is_postalcodes                 1      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/it/__init__                        0      0   100%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/it/forms                          49      6    88%
/home/gdub/tmp/metrics/2008-07-13/django/contrib/localflavor/it/it_region                       1      0   100%
